DateTime,Players
01/04/2014 0:00,19158
02/04/2014 0:00,
03/04/2014 0:00,
04/04/2014 0:00,
05/04/2014 0:00,
06/04/2014 0:00,
07/04/2014 0:00,
08/04/2014 0:00,
09/04/2014 0:00,3072
10/04/2014 0:00,11104
11/04/2014 0:00,15765
12/04/2014 0:00,19406
13/04/2014 0:00,18678
14/04/2014 0:00,18080
15/04/2014 0:00,17184
16/04/2014 0:00,16446
17/04/2014 0:00,16460
18/04/2014 0:00,15429
19/04/2014 0:00,15621
20/04/2014 0:00,16622
21/04/2014 0:00,14554
22/04/2014 0:00,12958
23/04/2014 0:00,12671
24/04/2014 0:00,11798
25/04/2014 0:00,12003
26/04/2014 0:00,12522
27/04/2014 0:00,10705
28/04/2014 0:00,10039
29/04/2014 0:00,9703
30/04/2014 0:00,10319
01/05/2014 0:00,12885
02/05/2014 0:00,11795
03/05/2014 0:00,12941
04/05/2014 0:00,10773
05/05/2014 0:00,9650
06/05/2014 0:00,9541
07/05/2014 0:00,8425
08/05/2014 0:00,8260
09/05/2014 0:00,8968
10/05/2014 0:00,9429
11/05/2014 0:00,8009
12/05/2014 0:00,7841
13/05/2014 0:00,7678
14/05/2014 0:00,5977
15/05/2014 0:00,7113
16/05/2014 0:00,7103
17/05/2014 0:00,7687
18/05/2014 0:00,6911
19/05/2014 0:00,6545
20/05/2014 0:00,6277
21/05/2014 0:00,6259
22/05/2014 0:00,6712
23/05/2014 0:00,6657
24/05/2014 0:00,7031
25/05/2014 0:00,6520
26/05/2014 0:00,6007
27/05/2014 0:00,6138
28/05/2014 0:00,6083
29/05/2014 0:00,5756
30/05/2014 0:00,5558
31/05/2014 0:00,7805
01/06/2014 0:00,9826
02/06/2014 0:00,7751
03/06/2014 0:00,7193
04/06/2014 0:00,7241
05/06/2014 0:00,7126
06/06/2014 0:00,8433
07/06/2014 0:00,9870
08/06/2014 0:00,9040
09/06/2014 0:00,8079
10/06/2014 0:00,7793
11/06/2014 0:00,6837
12/06/2014 0:00,7025
13/06/2014 0:00,7711
14/06/2014 0:00,8193
15/06/2014 0:00,7147
16/06/2014 0:00,7211
17/06/2014 0:00,6646
18/06/2014 0:00,6469
19/06/2014 0:00,6553
20/06/2014 0:00,6538
21/06/2014 0:00,7308
22/06/2014 0:00,6893
23/06/2014 0:00,7012
24/06/2014 0:00,7102
25/06/2014 0:00,6348
26/06/2014 0:00,6094
27/06/2014 0:00,6164
28/06/2014 0:00,6936
29/06/2014 0:00,6733
30/06/2014 0:00,6335
01/07/2014 0:00,12284
02/07/2014 0:00,5923
03/07/2014 0:00,5431
04/07/2014 0:00,5347
05/07/2014 0:00,5753
06/07/2014 0:00,5842
07/07/2014 0:00,5792
08/07/2014 0:00,5467
09/07/2014 0:00,5280
10/07/2014 0:00,7410
11/07/2014 0:00,10853
12/07/2014 0:00,12293
13/07/2014 0:00,10304
14/07/2014 0:00,9275
15/07/2014 0:00,8352
16/07/2014 0:00,7368
17/07/2014 0:00,6818
18/07/2014 0:00,5983
19/07/2014 0:00,6408
20/07/2014 0:00,6390
21/07/2014 0:00,6068
22/07/2014 0:00,5713
23/07/2014 0:00,5163
24/07/2014 0:00,5011
25/07/2014 0:00,4980
26/07/2014 0:00,5417
27/07/2014 0:00,5434
28/07/2014 0:00,5529
29/07/2014 0:00,5394
30/07/2014 0:00,5108
31/07/2014 0:00,5794
01/08/2014 0:00,7958
02/08/2014 0:00,8017
03/08/2014 0:00,7425
04/08/2014 0:00,6886
05/08/2014 0:00,6447
06/08/2014 0:00,6234
07/08/2014 0:00,5914
08/08/2014 0:00,5525
09/08/2014 0:00,5956
10/08/2014 0:00,5514
11/08/2014 0:00,5562
12/08/2014 0:00,4814
13/08/2014 0:00,4841
14/08/2014 0:00,5025
15/08/2014 0:00,5128
16/08/2014 0:00,5800
17/08/2014 0:00,5840
18/08/2014 0:00,5617
19/08/2014 0:00,5120
20/08/2014 0:00,5202
21/08/2014 0:00,5958
22/08/2014 0:00,6786
23/08/2014 0:00,7599
24/08/2014 0:00,7439
25/08/2014 0:00,7095
26/08/2014 0:00,6408
27/08/2014 0:00,6177
28/08/2014 0:00,6527
29/08/2014 0:00,6936
30/08/2014 0:00,7732
31/08/2014 0:00,7377
01/09/2014 0:00,10127
02/09/2014 0:00,6317
03/09/2014 0:00,6119
04/09/2014 0:00,8140
05/09/2014 0:00,9303
06/09/2014 0:00,10118
07/09/2014 0:00,8602
08/09/2014 0:00,7693
09/09/2014 0:00,6809
10/09/2014 0:00,6682
11/09/2014 0:00,7127
12/09/2014 0:00,7249
13/09/2014 0:00,7601
14/09/2014 0:00,6312
15/09/2014 0:00,6065
16/09/2014 0:00,5968
17/09/2014 0:00,5770
18/09/2014 0:00,6276
19/09/2014 0:00,6440
20/09/2014 0:00,6871
21/09/2014 0:00,5891
22/09/2014 0:00,5770
23/09/2014 0:00,5655
24/09/2014 0:00,4407
25/09/2014 0:00,5840
26/09/2014 0:00,6172
27/09/2014 0:00,6544
28/09/2014 0:00,5451
29/09/2014 0:00,5407
30/09/2014 0:00,5496
01/10/2014 0:00,9776
02/10/2014 0:00,6672
03/10/2014 0:00,9387
04/10/2014 0:00,9818
05/10/2014 0:00,8130
06/10/2014 0:00,7420
07/10/2014 0:00,6767
08/10/2014 0:00,6532
09/10/2014 0:00,6643
10/10/2014 0:00,6926
11/10/2014 0:00,7096
12/10/2014 0:00,6302
13/10/2014 0:00,6132
14/10/2014 0:00,5956
15/10/2014 0:00,5665
16/10/2014 0:00,5717
17/10/2014 0:00,5952
18/10/2014 0:00,6270
19/10/2014 0:00,5784
20/10/2014 0:00,5825
21/10/2014 0:00,5824
22/10/2014 0:00,5801
23/10/2014 0:00,6125
24/10/2014 0:00,6086
25/10/2014 0:00,6484
26/10/2014 0:00,6221
27/10/2014 0:00,6175
28/10/2014 0:00,5910
29/10/2014 0:00,5997
30/10/2014 0:00,5811
31/10/2014 0:00,6981
01/11/2014 0:00,10085
02/11/2014 0:00,6645
03/11/2014 0:00,6087
04/11/2014 0:00,6231
05/11/2014 0:00,6098
06/11/2014 0:00,6527
07/11/2014 0:00,7204
08/11/2014 0:00,7600
09/11/2014 0:00,6754
10/11/2014 0:00,6514
11/11/2014 0:00,6075
12/11/2014 0:00,5395
13/11/2014 0:00,6172
14/11/2014 0:00,6688
15/11/2014 0:00,6937
16/11/2014 0:00,5864
17/11/2014 0:00,5451
18/11/2014 0:00,5286
19/11/2014 0:00,5597
20/11/2014 0:00,7841
21/11/2014 0:00,7577
22/11/2014 0:00,10117
23/11/2014 0:00,8139
24/11/2014 0:00,7537
25/11/2014 0:00,7739
26/11/2014 0:00,7039
27/11/2014 0:00,7402
28/11/2014 0:00,7660
29/11/2014 0:00,7879
30/11/2014 0:00,6684
01/12/2014 0:00,8669
02/12/2014 0:00,6622
03/12/2014 0:00,6915
04/12/2014 0:00,7316
05/12/2014 0:00,7223
06/12/2014 0:00,8714
07/12/2014 0:00,7614
